optimizer,epochs,batch_size,output_dim,accuracy
adam,10,100,2,0.9818181872367859
adam,10,100,4,0.9939393997192383
adam,10,100,6,0.9901515245437622
adam,10,100,8,1.0
adam,10,100,10,0.9992424249649048
adam,10,100,12,0.9992424249649048
adam,10,100,14,0.9992424249649048
adam,10,200,2,0.949999988079071
adam,10,200,4,0.9772727429866791
adam,10,200,6,0.9856060743331909
adam,10,200,8,0.9878787994384766
adam,10,200,10,0.9863636493682861
adam,10,200,12,0.9924242496490479
adam,10,200,14,0.9916666746139526
adam,10,300,2,0.9386363625526428
adam,10,300,4,0.9750000238418579
adam,10,300,6,0.9818181991577148
adam,10,300,8,0.9878787994384766
adam,10,300,10,0.9916666746139526
adam,10,300,12,0.9924242496490479
adam,10,300,14,0.9962121248245239
adam,10,400,2,0.949999988079071
adam,10,400,4,0.9803030490875244
adam,10,400,6,0.9742424368858338
adam,10,400,8,0.9878787994384766
adam,10,400,10,0.9946969747543335
adam,10,400,12,0.9931818246841431
adam,10,400,14,0.9962121248245239
adam,10,500,2,0.9545454621315003
adam,10,500,4,0.9545454621315003
adam,10,500,6,0.9901515245437622
adam,10,500,8,0.9795454680919647
adam,10,500,10,0.9886363744735718
adam,10,500,12,0.9909090995788574
adam,10,500,14,0.9931818246841431
adam,10,600,2,0.9545454382896423
adam,10,600,4,0.9825757682323456
adam,10,600,6,0.9810606241226196
adam,10,600,8,0.9863636493682861
adam,10,600,10,0.9901515245437622
adam,10,600,12,0.9924242496490479
adam,10,600,14,0.9931818246841431
adam,10,700,2,0.939393937587738
adam,10,700,4,0.962121206521988
adam,10,700,6,0.9719697117805481
adam,10,700,8,0.9856060743331909
adam,10,700,10,0.9901515245437622
adam,10,700,12,0.9931818246841431
adam,10,700,14,0.9924242496490479
adam,10,800,2,0.9636363744735718
adam,10,800,4,0.9719697058200836
adam,10,800,6,0.989393949508667
adam,10,800,8,0.9856060743331909
adam,10,800,10,0.9931818246841431
adam,10,800,12,0.9924242496490479
